,Turret Guns,,,,,
Name of Ship,Diamter of Bore,Length in Calibers,Maximum Elevation,Range,Speed,Displacement
Royal Sovereign,15,42,20,24300,21.6,25750
Royal Oak,15,42,20,24300,21.5,25750
Revenge,15,42,20,24300,21.9,25750
Resolution,15,42,20,24300,21.6,25750
Ramilles,15,42,20,24300,21.5,25750
Malaya,15,42,20,24300,25,27500
Valiant,15,42,20,24300,25,27500
Barham,15,42,20,24300,25,27500
Queen Elizabeth,15,42,20,24300,25,27500
Warspite,15,42,20,24300,25,27500
Hood,15,42,30,30300,31.5,41200
Renown,15,42,20,24300,31.5,26500
Repulse,15,42,20,24300,31,26500
Tiger,13.5,45,20,23800,29,28500
Benbow,13.5,45,20,23800,21.5,25000
Emperor of India,13.5,45,20,23800,21.5,25000
Iron Duke,13.5,45,20,23800,21.6,25000
Marlborough,13.5,45,20,23800,21.6,25000
Thunderer,13.5,45,20,23800,21,22500
King George,13.5,45,20,23800,21.4,23000
Ajax,13.5,45,20,23800,21.1,23000
Centurion,13.5,45,20,23800,21.9,23000
